GEO_id,GEO_id2,GEO_display_label,HC03_EST_VC01
Id,Id2,Geography,Percent below poverty level; Estimate; Population for whom poverty status is determined
1400000US06059042319,6059042319,"Census Tract 423.19, Orange County, California",3.9
1400000US06059042320,6059042320,"Census Tract 423.20, Orange County, California",5.1
1400000US06059042323,6059042323,"Census Tract 423.23, Orange County, California",4.3
1400000US06059042324,6059042324,"Census Tract 423.24, Orange County, California",13.1
1400000US06059042325,6059042325,"Census Tract 423.25, Orange County, California",5
1400000US06059042326,6059042326,"Census Tract 423.26, Orange County, California",8.6
1400000US06059042327,6059042327,"Census Tract 423.27, Orange County, California",4.5
1400000US06059042328,6059042328,"Census Tract 423.28, Orange County, California",7.8
1400000US06059042329,6059042329,"Census Tract 423.29, Orange County, California",6
1400000US06059042330,6059042330,"Census Tract 423.30, Orange County, California",9.6
1400000US06059042331,6059042331,"Census Tract 423.31, Orange County, California",8.6
1400000US06059042332,6059042332,"Census Tract 423.32, Orange County, California",6.5
1400000US06059042333,6059042333,"Census Tract 423.33, Orange County, California",4.5
1400000US06059042334,6059042334,"Census Tract 423.34, Orange County, California",7
1400000US06059042335,6059042335,"Census Tract 423.35, Orange County, California",10.7
1400000US06059042336,6059042336,"Census Tract 423.36, Orange County, California",4.5
1400000US06059042337,6059042337,"Census Tract 423.37, Orange County, California",6.3
1400000US06059042338,6059042338,"Census Tract 423.38, Orange County, California",5.4
1400000US06059042339,6059042339,"Census Tract 423.39, Orange County, California",3.3
1400000US06059052404,6059052404,"Census Tract 524.04, Orange County, California",0
1400000US06059052408,6059052408,"Census Tract 524.08, Orange County, California",3.3
1400000US06059052410,6059052410,"Census Tract 524.10, Orange County, California",10.1
1400000US06059052411,6059052411,"Census Tract 524.11, Orange County, California",13.1
1400000US06059052415,6059052415,"Census Tract 524.15, Orange County, California",0.5
1400000US06059052416,6059052416,"Census Tract 524.16, Orange County, California",6.7
1400000US06059052417,6059052417,"Census Tract 524.17, Orange County, California",9.8
1400000US06059052418,6059052418,"Census Tract 524.18, Orange County, California",14
1400000US06059052419,6059052419,"Census Tract 524.19, Orange County, California",1.9
1400000US06059052420,6059052420,"Census Tract 524.20, Orange County, California",6.7
