ObjectID,datetime,PM2.5,AQI,latitude,longitude,,,,
1165,12/18/19 11:00,0.942142857,4,34.106646,-117.72357,,,,
1458,12/18/19 11:00,0.172410714,1,34.114777,-117.747759,,,,
1650,12/18/19 11:00,0.41,2,34.101792,-117.709791,,,,
1842,12/18/19 11:00,0,0,34.136145,-117.659406,,,,
14,12/18/19 11:15,1.775625,7,34.072166,-117.749625,,,,
206,12/18/19 11:15,0.87625,4,34.117691,-117.746524,,,,
398,12/18/19 11:15,0.067857143,0,34.104089,-117.746679,,,,
590,12/18/19 11:15,0.022767857,0,34.104334,-117.743445,,,,
782,12/18/19 11:15,0,0,34.125368,-117.726098,,,,
974,12/18/19 11:15,0.037857143,0,34.142913,-117.672854,,,,
1166,12/18/19 11:15,0.922321429,4,34.106646,-117.72357,,,,
1459,12/18/19 11:15,0.273660714,1,34.114777,-117.747759,,,,
1651,12/18/19 11:15,0.357142857,1,34.101792,-117.709791,,,,
1843,12/18/19 11:15,0.008571429,0,34.136145,-117.659406,,,,
15,12/18/19 11:30,1.407142857,6,34.072166,-117.749625,,,,
207,12/18/19 11:30,0.936428571,4,34.117691,-117.746524,,,,
399,12/18/19 11:30,0.110625,0,34.104089,-117.746679,,,,
591,12/18/19 11:30,0.117053571,0,34.104334,-117.743445,,,,
783,12/18/19 11:30,0.014375,0,34.125368,-117.726098,,,,
975,12/18/19 11:30,0.068125,0,34.142913,-117.672854,,,,
1167,12/18/19 11:30,0.249821429,1,34.106646,-117.72357,,,,
1460,12/18/19 11:30,0.191160714,1,34.114777,-117.747759,,,,
1652,12/18/19 11:30,0.29375,1,34.101792,-117.709791,,,,
1844,12/18/19 11:30,0.01125,0,34.136145,-117.659406,,,,
16,12/18/19 11:45,1.08125,5,34.072166,-117.749625,,,,
208,12/18/19 11:45,4.085,17,34.117691,-117.746524,,,,
400,12/18/19 11:45,0.14,1,34.104089,-117.746679,,,,
592,12/18/19 11:45,0.081428571,0,34.104334,-117.743445,,,,
784,12/18/19 11:45,0,0,34.125368,-117.726098,,,,
976,12/18/19 11:45,0.029285714,0,34.142913,-117.672854,,,,
1168,12/18/19 11:45,0.290714286,1,34.106646,-117.72357,,,,
1461,12/18/19 11:45,0.178928571,1,34.114777,-117.747759,,,,
1653,12/18/19 11:45,0.352857143,1,34.101792,-117.709791,,,,
1845,12/18/19 11:45,0.012857143,0,34.136145,-117.659406,,,,
17,12/18/19 12:00,1.531428571,6,34.072166,-117.749625,,,,
209,12/18/19 12:00,2.185,9,34.117691,-117.746524,,,,
401,12/18/19 12:00,0.145625,1,34.104089,-117.746679,,,,
593,12/18/19 12:00,0.085178571,0,34.104334,-117.743445,,,,
785,12/18/19 12:00,0,0,34.125368,-117.726098,,,,
977,12/18/19 12:00,0.024375,0,34.142913,-117.672854,,,,
1169,12/18/19 12:00,0.379821429,2,34.106646,-117.72357,,,,
1462,12/18/19 12:00,0.047142857,0,34.114777,-117.747759,,,,
1654,12/18/19 12:00,0.215,1,34.101792,-117.709791,,,,
1846,12/18/19 12:00,0,0,34.136145,-117.659406,,,,
18,12/18/19 12:15,2.81125,12,34.072166,-117.749625,,,,
210,12/18/19 12:15,NA,NA,34.117691,-117.746524,,,,
402,12/18/19 12:15,0.123571429,1,34.104089,-117.746679,,,,
594,12/18/19 12:15,0.027142857,0,34.104334,-117.743445,,,,
786,12/18/19 12:15,0,0,34.125368,-117.726098,,,,
978,12/18/19 12:15,0.017857143,0,34.142913,-117.672854,,,,
1170,12/18/19 12:15,0.504642857,2,34.106646,-117.72357,,,,
1463,12/18/19 12:15,0.153392857,1,34.114777,-117.747759,,,,
1655,12/18/19 12:15,0.211428571,1,34.101792,-117.709791,,,,
1847,12/18/19 12:15,0.007857143,0,34.136145,-117.659406,,,,
19,12/18/19 12:30,2.510714286,10,34.072166,-117.749625,,,,
211,12/18/19 12:30,4.13,17,34.117691,-117.746524,,,,
403,12/18/19 12:30,0.0425,0,34.104089,-117.746679,,,,
595,12/18/19 12:30,0.017857143,0,34.104334,-117.743445,,,,
787,12/18/19 12:30,0,0,34.125368,-117.726098,,,,
979,12/18/19 12:30,0.025625,0,34.142913,-117.672854,,,,
1171,12/18/19 12:30,0.361339286,2,34.106646,-117.72357,,,,
1464,12/18/19 12:30,0.205625,1,34.114777,-117.747759,,,,
1656,12/18/19 12:30,0.21625,1,34.101792,-117.709791,,,,
1848,12/18/19 12:30,0.013125,0,34.136145,-117.659406,,,,
20,12/18/19 12:45,2.75125,11,34.072166,-117.749625,,,,
212,12/18/19 12:45,1.464375,6,34.117691,-117.746524,,,,
404,12/18/19 12:45,0.025714286,0,34.104089,-117.746679,,,,
596,12/18/19 12:45,0.137410714,1,34.104334,-117.743445,,,,
788,12/18/19 12:45,0,0,34.125368,-117.726098,,,,
980,12/18/19 12:45,0.008571429,0,34.142913,-117.672854,,,,
1172,12/18/19 12:45,0.25,1,34.106646,-117.72357,,,,
1465,12/18/19 12:45,0.164375,1,34.114777,-117.747759,,,,
1657,12/18/19 12:45,0.148571429,1,34.101792,-117.709791,,,,
1849,12/18/19 12:45,0.022142857,0,34.136145,-117.659406,,,,
21,12/18/19 13:00,1.880714286,8,34.072166,-117.749625,,,,
213,12/18/19 13:00,0.510714286,2,34.117691,-117.746524,,,,
405,12/18/19 13:00,0.04125,0,34.104089,-117.746679,,,,
597,12/18/19 13:00,0.004375,0,34.104334,-117.743445,,,,
789,12/18/19 13:00,0.004375,0,34.125368,-117.726098,,,,
981,12/18/19 13:00,0.033125,0,34.142913,-117.672854,,,,
1173,12/18/19 13:00,0.148482143,1,34.106646,-117.72357,,,,
1466,12/18/19 13:00,0.127678571,1,34.114777,-117.747759,,,,
1658,12/18/19 13:00,0.170625,1,34.101792,-117.709791,,,,
1850,12/18/19 13:00,0,0,34.136145,-117.659406,,,,
22,12/18/19 13:15,1.564375,7,34.072166,-117.749625,,,,
214,12/18/19 13:15,1.379375,6,34.117691,-117.746524,,,,
406,12/18/19 13:15,0.032142857,0,34.104089,-117.746679,,,,
598,12/18/19 13:15,0.017142857,0,34.104334,-117.743445,,,,
790,12/18/19 13:15,0,0,34.125368,-117.726098,,,,
982,12/18/19 13:15,0.018571429,0,34.142913,-117.672854,,,,
1174,12/18/19 13:15,0.154553571,1,34.106646,-117.72357,,,,
1467,12/18/19 13:15,0.074464286,0,34.114777,-117.747759,,,,
1659,12/18/19 13:15,0.176428571,1,34.101792,-117.709791,,,,
1851,12/18/19 13:15,0.002857143,0,34.136145,-117.659406,,,,
23,12/18/19 13:30,1.492857143,6,34.072166,-117.749625,,,,
215,12/18/19 13:30,4.645,19,34.117691,-117.746524,,,,
407,12/18/19 13:30,0.06375,0,34.104089,-117.746679,,,,
599,12/18/19 13:30,0.0575,0,34.104334,-117.743445,,,,
791,12/18/19 13:30,0,0,34.125368,-117.726098,,,,
983,12/18/19 13:30,0.01875,0,34.142913,-117.672854,,,,
1175,12/18/19 13:30,0.241607143,1,34.106646,-117.72357,,,,
1468,12/18/19 13:30,0.043839286,0,34.114777,-117.747759,,,,
1660,12/18/19 13:30,0.133125,1,34.101792,-117.709791,,,,
1852,12/18/19 13:30,0.04,0,34.136145,-117.659406,,,,
24,12/18/19 13:45,1.39375,6,34.072166,-117.749625,,,,
216,12/18/19 13:45,7.403125,31,34.117691,-117.746524,,,,
408,12/18/19 13:45,0.08,0,34.104089,-117.746679,,,,
600,12/18/19 13:45,0.005625,0,34.104334,-117.743445,,,,
792,12/18/19 13:45,0,0,34.125368,-117.726098,,,,
984,12/18/19 13:45,0.025714286,0,34.142913,-117.672854,,,,
1176,12/18/19 13:45,0.237410714,1,34.106646,-117.72357,,,,
1469,12/18/19 13:45,0.195267857,1,34.114777,-117.747759,,,,
1661,12/18/19 13:45,0.195,1,34.101792,-117.709791,,,,
1853,12/18/19 13:45,0.06,0,34.136145,-117.659406,,,,
25,12/18/19 14:00,1.483571429,6,34.072166,-117.749625,,,,
217,12/18/19 14:00,5.690714286,24,34.117691,-117.746524,,,,
409,12/18/19 14:00,2.875625,12,34.104089,-117.746679,,,,
601,12/18/19 14:00,0.067232143,0,34.104334,-117.743445,,,,
793,12/18/19 14:00,0.00375,0,34.125368,-117.726098,,,,
985,12/18/19 14:00,0.03375,0,34.142913,-117.672854,,,,
1177,12/18/19 14:00,0.197857143,1,34.106646,-117.72357,,,,
1470,12/18/19 14:00,0.251964286,1,34.114777,-117.747759,,,,
1662,12/18/19 14:00,0.23375,1,34.101792,-117.709791,,,,
1854,12/18/19 14:00,0,0,34.136145,-117.659406,,,,
26,12/18/19 14:15,4.44375,19,34.072166,-117.749625,,,,
218,12/18/19 14:15,1.689375,7,34.117691,-117.746524,,,,
410,12/18/19 14:15,0.055714286,0,34.104089,-117.746679,,,,
602,12/18/19 14:15,0.07,0,34.104334,-117.743445,,,,
794,12/18/19 14:15,0.4,2,34.125368,-117.726098,,,,
986,12/18/19 14:15,0.009285714,0,34.142913,-117.672854,,,,
1178,12/18/19 14:15,0.300535714,1,34.106646,-117.72357,,,,
1471,12/18/19 14:15,0.360892857,2,34.114777,-117.747759,,,,
1663,12/18/19 14:15,0.217142857,1,34.101792,-117.709791,,,,
1855,12/18/19 14:15,0,0,34.136145,-117.659406,,,,
27,12/18/19 14:30,6.550714286,27,34.072166,-117.749625,,,,
219,12/18/19 14:30,2.223571429,9,34.117691,-117.746524,,,,
411,12/18/19 14:30,0.089375,0,34.104089,-117.746679,,,,
603,12/18/19 14:30,0.061696429,0,34.104334,-117.743445,,,,
795,12/18/19 14:30,0.021875,0,34.125368,-117.726098,,,,
987,12/18/19 14:30,0.02625,0,34.142913,-117.672854,,,,
1179,12/18/19 14:30,0.605625,3,34.106646,-117.72357,,,,
1472,12/18/19 14:30,1.180446429,5,34.114777,-117.747759,,,,
1664,12/18/19 14:30,0.379375,2,34.101792,-117.709791,,,,
1856,12/18/19 14:30,0,0,34.136145,-117.659406,,,,
28,12/18/19 14:45,7.596875,32,34.072166,-117.749625,,,,
220,12/18/19 14:45,1.51125,6,34.117691,-117.746524,,,,
412,12/18/19 14:45,0.629285714,3,34.104089,-117.746679,,,,
604,12/18/19 14:45,0.284642857,1,34.104334,-117.743445,,,,
796,12/18/19 14:45,0.018571429,0,34.125368,-117.726098,,,,
988,12/18/19 14:45,0.008571429,0,34.142913,-117.672854,,,,
1180,12/18/19 14:45,0.850357143,4,34.106646,-117.72357,,,,
1473,12/18/19 14:45,2.706160714,11,34.114777,-117.747759,,,,
1665,12/18/19 14:45,0.412142857,2,34.101792,-117.709791,,,,
1857,12/18/19 14:45,0,0,34.136145,-117.659406,,,,
29,12/18/19 15:00,8.299285714,35,34.072166,-117.749625,,,,
221,12/18/19 15:00,1.612142857,7,34.117691,-117.746524,,,,
413,12/18/19 15:00,0.749375,3,34.104089,-117.746679,,,,
605,12/18/19 15:00,0.187321429,1,34.104334,-117.743445,,,,
797,12/18/19 15:00,0.0025,0,34.125368,-117.726098,,,,
989,12/18/19 15:00,0.019375,0,34.142913,-117.672854,,,,
1181,12/18/19 15:00,0.771160714,3,34.106646,-117.72357,,,,
1474,12/18/19 15:00,1.462142857,6,34.114777,-117.747759,,,,
1666,12/18/19 15:00,0.291160714,1,34.101792,-117.709791,,,,
1858,12/18/19 15:00,0.009375,0,34.136145,-117.659406,,,,
30,12/18/19 15:15,8.62625,36,34.072166,-117.749625,,,,
222,12/18/19 15:15,5.469375,23,34.117691,-117.746524,,,,
414,12/18/19 15:15,0.480714286,2,34.104089,-117.746679,,,,
606,12/18/19 15:15,0.380178571,2,34.104334,-117.743445,,,,
798,12/18/19 15:15,0.020714286,0,34.125368,-117.726098,,,,
990,12/18/19 15:15,0.04,0,34.142913,-117.672854,,,,
1182,12/18/19 15:15,0.859375,4,34.106646,-117.72357,,,,
1475,12/18/19 15:15,2.143571429,9,34.114777,-117.747759,,,,
1667,12/18/19 15:15,0.461696429,2,34.101792,-117.709791,,,,
1859,12/18/19 15:15,0.016428571,0,34.136145,-117.659406,,,,
31,12/18/19 15:30,7.010714286,29,34.072166,-117.749625,,,,
223,12/18/19 15:30,10.44928571,44,34.117691,-117.746524,,,,
415,12/18/19 15:30,1.235,5,34.104089,-117.746679,,,,
607,12/18/19 15:30,1.018392857,4,34.104334,-117.743445,,,,
799,12/18/19 15:30,0.01625,0,34.125368,-117.726098,,,,
991,12/18/19 15:30,0.0125,0,34.142913,-117.672854,,,,
